Model_Type,Optimization,Accuracy
VGG16,SGD,0.5967391133308411
Simple NN Dropout,SGD,0.32101449370384216
Simple NN,SGD,0.31485506892204285
Simple NN L2 Reg,SGD,0.3134058117866516
Simple NN L1 Reg,SGD,0.2981884181499481
Simple CNN,SGD,0.25724637508392334
Simple NN L1/L2 Reg,SGD,0.23876811563968658
CNN with Dropout and Data Augmention,SGD,0.2231884002685547
CNN w/Dropout,SGD,0.2181159406900406
